x	y	time	xaccel	yaccel	cumulative_time	xaccel_filtered_iir	yaccel_filtered_iir
0.000000000	0.000000000	0.020555930	-0.180843794	1.725265242	0.020555930	-0.181338863	1.725620000
0.000000000	0.000000000	0.020555930	0.168483898	0.927895024	0.020555930	0.182111836	1.409352066
0.000000000	0.000000000	0.026848690	0.151643167	1.523042072	0.047404620	0.563802785	1.168443982
0.000000000	0.000000000	0.024406534	1.298802387	1.158416905	0.071811154	0.923278131	1.014065308
0.000000000	0.000000000	0.022250388	1.471218493	0.369772647	0.094061542	1.206426593	0.883162364
0.000000000	0.000000000	0.025267890	1.021589636	1.150569744	0.119329432	1.430273888	0.681836170
0.000000000	0.000000000	0.024567561	1.805825971	0.144786424	0.143896993	1.670925725	0.351577950
0.000000000	0.000000000	0.027040104	1.743196271	-0.039244778	0.170937097	1.957129783	-0.077273689
0.000000000	0.000000000	0.029014446	2.368321838	-0.174787607	0.199951543	2.214413862	-0.494138010
0.000000000	0.000000000	0.025698012	2.703571198	-1.544746430	0.225649555	2.337645668	-0.793804110
0.000000000	0.000000000	0.027336869	1.728091901	-0.467526062	0.252986424	2.297863522	-0.966118604
0.000000000	0.000000000	0.026360639	2.493908188	-0.914617314	0.279347063	2.155319633	-1.091918819
0.000000000	0.000000000	0.022670741	1.854671645	-1.692450702	0.302017804	1.982084325	-1.249325682
0.000000000	0.000000000	0.028748496	1.586163368	-1.099798277	0.330766300	1.800818969	-1.435287112
0.000000000	0.000000000	0.023771284	2.248116252	-1.786682695	0.354537584	1.600419332	-1.570369599
0.000000000	0.000000000	0.028007263	0.809998067	-1.414098081	0.382544847	1.381551315	-1.558648957
0.000000000	0.000000000	0.023267843	1.184800641	-1.294249454	0.405812690	1.160269357	-1.352385465
0.000000000	0.000000000	0.021078542	1.261340087	-1.374113582	0.426891231	0.934909073	-0.993000015
0.000000000	0.000000000	0.024998411	0.353660788	-0.312608796	0.451889642	0.677600092	-0.597632387
0.000000000	0.000000000	0.026783064	0.566074597	-0.058205624	0.478672706	0.366402729	-0.277950657
0.000000000	0.000000000	0.026578198	0.090468098	-0.500808614	0.505250904	0.012861062	-0.050714984
0.000000000	0.000000000	0.023718675	-0.858195615	0.626832362	0.528969578	-0.345575600	0.165122770
0.000000000	0.000000000	0.023154120	0.133568356	0.043249647	0.552123698	-0.671146848	0.451876115
0.000000000	0.000000000	0.021810403	-1.575109589	0.755299673	0.573934102	-0.944396053	0.796164898
0.000000000	0.000000000	0.022554265	-1.129311087	1.537570691	0.596488367	-1.170456562	1.096800256
0.000000000	0.000000000	0.022725415	-0.976495527	0.928951125	0.619213781	-1.369342234	1.271186231
0.000000000	0.000000000	0.025620033	-1.820921523	1.606060030	0.644833815	-1.551002922	1.341325529
0.000000000	0.000000000	0.025898780	-1.702175660	1.244542632	0.670732594	-1.704830658	1.397590169
0.000000000	0.000000000	0.026908711	-1.825606349	1.160723743	0.697641305	-1.822901733	1.477460486
0.000000000	0.000000000	0.028393194	-2.014557669	1.975836602	0.726034500	-1.919035471	1.499770096
0.000000000	0.000000000	0.027480063	-1.454263243	1.114244596	0.753514562	-2.008132093	1.338334545
0.000000000	0.000000000	0.028790572	-2.894122503	1.105099901	0.782305134	-2.077922999	0.960782019
0.000000000	0.000000000	0.021978419	-1.736802968	0.575812964	0.804283554	-2.093681108	0.479954062
0.000000000	0.000000000	0.026523420	-1.554593394	-0.480294257	0.830806974	-2.018419361	0.059526621
0.000000000	0.000000000	0.025047429	-2.639538682	0.239652736	0.855854403	-1.825616196	-0.226106365
0.000000000	0.000000000	0.023020956	-1.031606976	-0.485213159	0.878875359	-1.518134988	-0.435856642
0.000000000	0.000000000	0.026610147	-1.163651386	-0.862746555	0.905485506	-1.145881698	-0.681180952
0.000000000	0.000000000	0.023211506	-1.107665795	-0.783192700	0.928697012	-0.785002668	-1.014031435
0.000000000	0.000000000	0.025146684	0.080807413	-1.479933882	0.953843696	-0.485656084	-1.379255338
0.000000000	0.000000000	0.022223290	-0.691277540	-1.772597586	0.976066986	-0.243402037	-1.652604464
0.000000000	0.000000000	0.023038503	-0.071625433	-1.332982910	0.999105488	-0.020999428	-1.728733266
0.000000000	0.000000000	0.024238285	0.603272351	-2.302553166	1.023343773	0.214689911	-1.598802769
0.000000000	0.000000000	0.027315562	0.129992357	-0.853644305	1.050659335	0.484243312	-1.355348999
0.000000000	0.000000000	0.025958284	1.087973096	-0.919106111	1.076617619	0.803710105	-1.109540571
0.000000000	0.000000000	0.021803594	0.991519883	-1.423429284	1.098421213	1.169171808	-0.895149797
0.000000000	0.000000000	0.023919206	1.331499538	-0.174973913	1.122340419	1.527754886	-0.660066180
0.000000000	0.000000000	0.026809732	2.218422671	-0.818717085	1.149150151	1.790839330	-0.347667619
0.000000000	0.000000000	0.024355143	1.695949852	0.272946456	1.173505293	1.903096153	0.032588983
0.000000000	0.000000000	0.024165007	1.851424648	0.615140477	1.197670300	1.900358560	0.418353185
0.000000000	0.000000000	0.025835426	2.104040982	0.383910022	1.223505726	1.885386818	0.757542423
0.000000000	0.000000000	0.025879787	1.612671800	1.286332516	1.249385513	1.935928570	1.041505086
0.000000000	0.000000000	0.026015171	2.114675796	1.391773619	1.275400683	2.032025474	1.279750205
0.000000000	0.000000000	0.027461592	2.278004010	0.820698202	1.302862275	2.074908906	1.458344159
0.000000000	0.000000000	0.023791032	1.742523095	2.265888548	1.326653308	1.983063148	1.539499679
0.000000000	0.000000000	0.030246177	2.182088419	1.414139325	1.356899485	1.768889711	1.507081520
0.000000000	0.000000000	0.031968384	1.072057737	0.998973514	1.388867869	1.513349352	1.391973934
0.000000000	0.000000000	0.026550725	1.054628070	1.511101374	1.415418594	1.270885288	1.229225711
0.000000000	0.000000000	0.024415573	1.831690696	0.644936030	1.439834167	1.022328529	1.007861314
