x	y	time	xaccel	yaccel	cumulative_time
0.000000000	0.000000000	0.005000000	0.847588268	1.382307655	0.005000000
0.000000000	0.000000000	0.004936429	0.936633287	0.481666378	0.004936429
0.000000000	0.000000000	0.004793147	0.908212223	-0.063836495	0.009729576
0.000000000	0.000000000	0.005556306	0.439137736	-0.350740891	0.015285883
0.000000000	0.000000000	0.005122977	0.016030178	-0.440458037	0.020408859
0.000000000	0.000000000	0.005129262	0.155878305	-0.217560849	0.025538122
0.000000000	0.000000000	0.004731572	0.556251679	-0.089867065	0.030269694
0.000000000	0.000000000	0.005058022	0.006061753	-0.281942849	0.035327716
0.000000000	0.000000000	0.005197629	0.073939039	-0.134041084	0.040525345
0.000000000	0.000000000	0.005220678	-0.201055783	-0.006475818	0.045746022
0.000000000	0.000000000	0.005000113	0.007067057	0.146789326	0.050746135
0.000000000	0.000000000	0.004949701	0.076969099	-0.243190091	0.055695836
0.000000000	0.000000000	0.005152094	0.173682586	-0.252910240	0.060847929
0.000000000	0.000000000	0.004759609	0.053157644	-0.292015025	0.065607538
0.000000000	0.000000000	0.005136509	-0.014879145	-0.040414654	0.070744047
0.000000000	0.000000000	0.004801262	0.074875440	0.181111426	0.075545309
0.000000000	0.000000000	0.005531030	0.537455103	0.413665591	0.081076339
0.000000000	0.000000000	0.004857689	0.640276397	-0.062046793	0.085934028
0.000000000	0.000000000	0.005348181	0.637311790	-0.385225405	0.091282209
0.000000000	0.000000000	0.004993262	-0.167846294	-0.285943641	0.096275471
0.000000000	0.000000000	0.005321947	-0.358133683	-0.316470093	0.101597418
0.000000000	0.000000000	0.004708095	-0.397099936	0.326480046	0.106305513
0.000000000	0.000000000	0.005130680	0.045669076	0.475900866	0.111436193
0.000000000	0.000000000	0.005252582	0.720632346	0.607348903	0.116688774
0.000000000	0.000000000	0.004911862	0.384133331	0.053532442	0.121600637
0.000000000	0.000000000	0.004933751	0.679349598	-0.409482877	0.126534387
0.000000000	0.000000000	0.005181790	0.163724170	-0.472400483	0.131716177
0.000000000	0.000000000	0.005106864	0.013494086	-0.348607420	0.136823041
0.000000000	0.000000000	0.005090430	0.232618078	-0.528572503	0.141913471
0.000000000	0.000000000	0.005100897	-0.030684649	-0.586861620	0.147014368
0.000000000	0.000000000	0.005264326	-0.118617769	-0.346614870	0.152278694
0.000000000	0.000000000	0.005273578	-0.323028703	0.289990939	0.157552272
0.000000000	0.000000000	0.005428613	-0.265707287	0.139091710	0.162980885
0.000000000	0.000000000	0.005019378	0.008035190	0.342408061	0.168000263
0.000000000	0.000000000	0.004883456	0.466998596	0.417925992	0.172883719
0.000000000	0.000000000	0.005477259	0.570165192	-0.254519865	0.178360978
0.000000000	0.000000000	0.005139073	0.248104736	-0.455783633	0.183500050
0.000000000	0.000000000	0.005025550	-0.014911703	-0.571673540	0.188525600
0.000000000	0.000000000	0.004861804	-0.208656476	-0.198610216	0.193387404
0.000000000	0.000000000	0.005209973	0.472737622	0.179271368	0.198597378
0.000000000	0.000000000	0.004873571	0.516544009	0.245295627	0.203470948
0.000000000	0.000000000	0.004821540	0.394530314	-0.372768174	0.208292489
0.000000000	0.000000000	0.004665707	-0.133839092	-0.830494455	0.212958195
0.000000000	0.000000000	0.005382782	-0.285522627	-0.454104357	0.218340978
0.000000000	0.000000000	0.004666099	-0.430714163	-0.378901324	0.223007077
0.000000000	0.000000000	0.005287534	-0.344471815	-0.056845693	0.228294611
0.000000000	0.000000000	0.004786074	0.024353008	-0.150050764	0.233080686
0.000000000	0.000000000	0.004703380	-0.519252775	-0.876521891	0.237784066
0.000000000	0.000000000	0.004938294	-0.504732390	-0.619150715	0.242722359
0.000000000	0.000000000	0.005172711	-0.580225777	-0.775925018	0.247895070
0.000000000	0.000000000	0.004939948	-0.807757768	-0.649928903	0.252835018
0.000000000	0.000000000	0.005216850	-0.743725701	-0.580756385	0.258051868
0.000000000	0.000000000	0.005063286	-1.103243349	-0.784855280	0.263115154
0.000000000	0.000000000	0.005212322	-1.599942932	-0.413165596	0.268327476
0.000000000	0.000000000	0.005089228	-1.593135891	0.427660649	0.273416704
0.000000000	0.000000000	0.004802526	-1.053922253	0.778739716	0.278219230
0.000000000	0.000000000	0.004883339	-0.726061776	0.942767089	0.283102569
0.000000000	0.000000000	0.004831319	0.113058402	0.909797113	0.287933887
0.000000000	0.000000000	0.005273256	-0.127597422	0.580109918	0.293207143
0.000000000	0.000000000	0.004777370	0.037568974	0.126355595	0.297984513
0.000000000	0.000000000	0.004952860	-0.674243461	0.473637778	0.302937373
0.000000000	0.000000000	0.004646982	-0.710089863	0.812651888	0.307584355
0.000000000	0.000000000	0.004612273	-0.244279413	1.106275688	0.312196628
0.000000000	0.000000000	0.004913756	0.647327048	1.079077052	0.317110384
0.000000000	0.000000000	0.005022041	0.600579875	0.852291306	0.322132424
0.000000000	0.000000000	0.005198453	0.376116492	0.898371569	0.327330877
0.000000000	0.000000000	0.005303802	0.423718379	0.542793444	0.332634679
0.000000000	0.000000000	0.005019256	0.475684035	0.423618258	0.337653935
0.000000000	0.000000000	0.005599546	0.712768800	0.591361848	0.343253481
0.000000000	0.000000000	0.005338124	0.473432287	0.142259635	0.348591605
0.000000000	0.000000000	0.004873344	0.660356163	0.043058615	0.353464950
0.000000000	0.000000000	0.004465289	0.155733132	-0.228892536	0.357930238
0.000000000	0.000000000	0.004860042	0.480134198	-0.441922074	0.362790280
0.000000000	0.000000000	0.005186663	0.390801135	-0.334622487	0.367976943
0.000000000	0.000000000	0.005116496	0.457314066	-0.153010428	0.373093438
0.000000000	0.000000000	0.005366297	0.190262189	-0.509306674	0.378459736
0.000000000	0.000000000	0.005205889	-0.270506818	-0.374219868	0.383665625
0.000000000	0.000000000	0.005330085	-0.637599519	-0.025866376	0.388995710
0.000000000	0.000000000	0.004973737	-0.317407530	0.467405539	0.393969447
0.000000000	0.000000000	0.004645716	0.279414558	0.680414164	0.398615163
0.000000000	0.000000000	0.004894323	0.853638487	0.513615902	0.403509486
0.000000000	0.000000000	0.004801758	0.713135037	0.032406517	0.408311244
0.000000000	0.000000000	0.004816340	0.434837088	-0.381965849	0.413127584
0.000000000	0.000000000	0.004963543	-0.050656089	-0.840044164	0.418091127
0.000000000	0.000000000	0.005132327	-0.083548501	-0.183437312	0.423223454
0.000000000	0.000000000	0.004870944	-0.199427857	0.013610547	0.428094398
0.000000000	0.000000000	0.005148851	0.051921591	0.432431439	0.433243249
0.000000000	0.000000000	0.005312209	0.076949161	0.107195651	0.438555458
0.000000000	0.000000000	0.005194979	0.533020231	-0.056019822	0.443750437
0.000000000	0.000000000	0.004811197	0.263596229	0.130655012	0.448561634
0.000000000	0.000000000	0.005075981	0.409383828	0.213268938	0.453637615
0.000000000	0.000000000	0.005031200	0.566711925	-0.260355951	0.458668815
0.000000000	0.000000000	0.005319065	0.061342954	-0.660108192	0.463987880
0.000000000	0.000000000	0.004758944	0.286559271	-0.682043668	0.468746823
0.000000000	0.000000000	0.005290635	-0.193114123	-0.542128453	0.474037459
0.000000000	0.000000000	0.005168764	-0.341116265	-0.197976497	0.479206223
0.000000000	0.000000000	0.005029226	0.261336364	0.023636071	0.484235449
0.000000000	0.000000000	0.005166475	0.127031650	0.061008825	0.489401924
0.000000000	0.000000000	0.005111009	0.269845140	-0.214334683	0.494512933
0.000000000	0.000000000	0.005082910	-0.202974634	-0.285617148	0.499595843
0.000000000	0.000000000	0.004900706	-0.391085539	-0.370957587	0.504496549
0.000000000	0.000000000	0.005051627	-0.160987635	0.129510054	0.509548176
0.000000000	0.000000000	0.005000370	0.196993197	0.570533009	0.514548546
0.000000000	0.000000000	0.004916496	0.918152221	0.364331896	0.519465042
0.000000000	0.000000000	0.004697029	0.717202117	-0.073288831	0.524162071
0.000000000	0.000000000	0.005095629	0.303466236	-0.520697170	0.529257699
0.000000000	0.000000000	0.005186875	0.206776684	-0.512341788	0.534444575
0.000000000	0.000000000	0.004852523	-0.214639765	-0.374413417	0.539297098
0.000000000	0.000000000	0.005204899	0.140054326	-0.141512559	0.544501997
0.000000000	0.000000000	0.004995710	-0.004358409	-0.351984685	0.549497707
0.000000000	0.000000000	0.005332362	-0.192896820	-0.305497549	0.554830069
0.000000000	0.000000000	0.004965157	-0.470583758	-0.214075108	0.559795226
